('the', 4066)
('and', 2969)
('of', 2746)
('I', 2719)
('to', 2144)
('my', 1631)
('a', 1394)
('', 1185)
('in', 1129)
('was', 994)
('that', 986)
('with', 700)
('had', 679)
('which', 547)
('but', 541)
('me', 529)
('not', 505)
('his', 500)
('as', 486)
('for', 485)
('by', 468)
('you', 455)
('he', 448)
('on', 435)
('from', 387)
('it', 372)
('have', 362)
('be', 357)
('this', 337)
('is', 318)
('her', 313)
('at', 302)
('were', 298)
('The', 268)
('when', 262)
('your', 246)
('or', 238)
('an', 213)
('so', 197)
('will', 193)
('all', 190)
('could', 188)
('are', 187)
('been', 182)
('would', 177)
('one', 175)
('their', 174)
('she', 172)
('they', 168)
('if', 157)
('no', 154)
('should', 154)
('who', 153)
('more', 150)
('me,'
('him', 147)
('some', 136)
('these', 133)
('now', 130)
('But', 128)
('He', 126)
('before', 125)
('upon', 125)
('into', 124)
('its', 123)
('we', 122)
('our', 122)
('only', 121)
('My', 120)
('any', 115)
('am', 114)
('than', 112)
('did', 112)
('yet', 109)
('may', 107)
('might', 107)
('me.', 107)
('myself', 105)
('every', 103)
('first', 102)
('do', 101)
('shall', 100)
('can', 98)
('own', 96)
('towards', 93)
('what', 92)
('most', 91)
('saw', 91)
('It', 88)
('those', 88)
('other', 85)
('even', 82)
('whom', 81)
('then', 81)
('found', 80)
('Project', 79)
('where', 79)
('such', 77)
('them', 76)
('man', 76)
('time', 75)
('very', 73)
('father', 73)
('being', 73)
('must', 72)
('felt', 72)
('“I', 71)
('This', 70)
('said', 68)
('She', 68)
('many', 66)
('made', 66)
('thought', 65)
('up', 65)
('life', 65)
('You', 64)
('again', 63)
('eyes', 63)
('has', 63)
('still', 63)
('dear', 62)
('same', 62)
('never', 60)
('mind', 60)
('became', 60)
('few', 60)
('passed', 59)
('like', 58)
('also', 58)
('while', 58)
('ever', 57)
('feelings', 57)
('heard', 56)
('We', 56)
('soon', 56)
('after', 55)
('night', 55)
('over', 55)
('how', 55)
('human', 54)
('day', 54)
('work', 53)
('Gutenberg-tm', 53)
('little', 53)
('about', 53)
('miserable', 53)
('appeared', 52)
('me', 52)
('there', 51)
('cannot', 50)
('whose', 50)
('see', 50)
('during', 49)
('until', 49)
('although', 49)
('among', 49)
('Chapter', 48)
('If', 48)
('old', 48)
('When', 47)
('In', 47)
('you,'
('place', 46)
('long', 45)
('often', 45)
('heart', 44)
('several', 44)
('great', 44)
('A', 44)
('much', 43)
('him,'
('Elizabeth', 43)
('through', 42)
('love', 41)
('death', 41)
('words', 41)
('feel', 40)
('indeed', 40)
('new', 40)
('it.', 40)
('know', 39)
('almost', 39)
('As', 39)
('far', 38)
('sun', 38)
('part', 38)
('away', 37)
('days', 37)
('came', 37)
('without', 37)
('return', 37)
('Felix', 37)
('sometimes', 36)
('seemed', 36)
('took', 36)
('near', 35)
('make', 35)
('thus', 35)
('possessed', 35)
('left', 35)
('another', 35)
('They', 34)
('poor', 34)
('us', 34)
('scene', 34)
('I,'
('it,'
('already', 33)
('out', 33)
('well', 33)
('taken', 33)
('His', 33)
('Clerval', 33)
('become', 32)
('What', 32)
('power', 32)
('two', 32)
('idea', 32)
('whole', 32)
('within', 32)
('said,'
('hope', 32)
('light', 32)
('months', 31)
('And', 31)
('down', 31)
('nor', 31)
('gave', 31)
('voice', 31)
('friend,'
('remained', 31)
('last', 30)
('gentle', 30)
('happiness', 30)
('beheld', 30)
('nearly', 30)
('knew', 30)
('friends', 30)
('works', 30)
('years', 29)
('cause', 29)
('around', 29)
('looked', 29)
('under', 29)
('discovered', 29)
('joy', 29)
('Yet', 29)
('men', 29)
('too', 29)
('come', 29)
('moment', 29)
('native', 28)
('kind', 28)
('strange', 28)
('present', 28)
('thoughts', 28)
('brought', 28)
('nature', 28)
('each', 28)
('thousand', 27)
('read', 27)
('greatest', 27)
('placed', 27)
('creature', 27)
('entered', 27)
('Justine', 27)
('various', 27)
('resolved', 27)
('How', 27)
('affection', 27)
('misery', 27)
('“The', 27)
('hardly', 27)
('electronic', 27)
('young', 26)
('once', 26)
('lost', 26)
('hours', 26)
('state', 26)
('spirit', 26)
('therefore,'
('lovely', 26)
('them,'
('full', 26)
('endeavoured', 26)
('forth', 26)
('father,'
('world', 25)
('quickly', 25)
('think', 25)
('At', 25)
('change', 25)
('length', 25)
('soul', 25)
('since', 25)
('greater', 25)
('countenance', 25)
('concerning', 25)
('beautiful', 25)
('horror', 25)
('fear', 24)
('good', 24)
('turned', 24)
('perceived', 24)
('rather', 24)
('loved', 24)
('her,'
('sat', 24)
('believe', 24)
('continued', 24)
('means', 24)
('always', 24)
('terms', 24)
('began', 24)
('nothing', 24)
('occupied', 24)
('lay', 24)
('man,'
('called', 24)
('alone', 24)
('eyes,'
('fellow', 24)
('expressed', 24)
('desired', 24)
('cottage', 24)
('give', 23)
('appearance', 23)
('filled', 23)
('journey', 23)
('here', 23)
('spent', 23)
('himself', 23)
('seek', 23)
('For', 23)
('natural', 23)
('wish', 23)
('country', 22)
('quitted', 22)
('however,'
('beloved', 22)
('suddenly', 22)
('dark', 22)
('knowledge', 22)
('sweet', 22)
('Gutenberg', 22)
('arrived', 22)
('and,'
('friend', 22)
('returned', 22)
('air', 22)
('hands', 22)
('despair', 22)
('M.', 22)
('destroy', 22)
('fiend', 22)
('cold', 21)
('person', 21)
('ice', 21)
('house', 21)
('Elizabeth,'
('existence', 21)
('against', 21)
('that,'
('then,'
('rage', 21)
('remain', 21)
('desire', 21)
('find', 21)
('him.', 21)
('having', 21)
('fixed', 21)
('replied', 21)
('grief', 21)
('happy', 21)
('“My', 21)
('monster', 21)
('take', 20)
('let', 20)
('different', 20)
('mountains', 20)
('longer', 20)
('room', 20)
('Justine,'
('wind', 20)
('father’s', 20)
('hour', 20)
('went', 20)
('was,'
('tale', 20)
('drew', 20)
('future', 20)
('hand', 20)
('entirely', 20)
('pleasure', 20)
('beauty', 19)
('just', 19)
('life.', 19)
('spirits', 19)
('easily', 19)
('sound', 19)
('leave', 19)
('free', 19)
('sight', 19)
('sufficient', 19)
('between', 19)
('girl', 19)
('sensations', 19)
('manner', 19)
('wished', 19)
('you', 19)
('received', 19)
('morning', 19)
('allowed', 19)
('unable', 19)
('dared', 19)
('use', 18)
('set', 18)
('man.', 18)
('child', 18)
('science', 18)
('appear', 18)
('look', 18)
('he,'
('tears', 18)
('spoke', 18)
('form', 18)
('companion', 18)
('formed', 18)
('death.', 18)
('covered', 18)
('delight', 18)
('thy', 18)
('copyright', 18)
('which,'
('night,'
('body', 18)
('surrounded', 18)
('observed', 18)
('“You', 18)
('suffered', 18)
('learned', 18)
('sank', 18)
('discover', 17)
('These', 17)
('acquainted', 17)
('letter', 17)
('continually', 17)
('them.', 17)
('way', 17)
('rest', 17)
('enter', 17)
('During', 17)
('account', 17)
('quit', 17)
('short', 17)
('itself', 17)
('degree', 17)
('On', 17)
